SampleID,R,G,B,view,class,size
1,128.3870448,148.3850684,88.12592469,front,3,178
2,91.39677824,114.322955,48.27724302,front,4,147
3,87.80459542,112.7741466,50.03438301,front,1,154
4,81.90137723,103.8866401,37.11075248,front,1,160
5,94.31104094,120.1036043,56.23759803,front,1,162
6,76.52060775,102.5990039,41.98173278,front,1,149
7,93.30277194,116.5986335,53.71591528,front,1,156
8,89.89826751,109.0272248,52.0591415,front,1,150
9,86.83268978,113.4580058,49.6341167,front,1,148
10,89.01021432,113.3094678,52.68679287,front,1,160
11,95.5215001,118.8370836,64.08579095,front,1,164
12,104.146886,126.7925875,68.25167171,front,3,169
13,102.0076471,121.7738048,58.4964831,front,3,176
14,84.48708585,103.0333093,41.13798768,front,3,167
15,83.64027464,104.9323646,41.3341934,front,3,166
16,90.65693544,112.5823943,44.35574434,front,1,151
17,78.44771273,102.3413912,41.95626745,front,2,137
18,91.04564887,109.5821415,49.66479132,front,1,156
19,103.8034205,119.3928944,58.03871831,front,1,154
20,91.9056621,118.1885957,53.89534032,front,1,154
21,84.10884977,110.8546806,51.07975497,front,1,155
22,105.786273,126.9607171,60.08110178,front,2,135
23,93.1168218,115.7624309,52.74191286,front,1,150
24,93.01906635,117.1690444,52.11987004,front,1,158
25,101.8717506,118.3654905,60.55279777,front,1,164
26,75.11141336,98.31402403,35.69834436,front,1,162
27,94.31790619,117.4726802,53.66275525,front,1,158
28,90.10119071,113.671188,53.8400447,front,1,152
29,95.29259521,118.1578858,49.71129315,front,1,147
30,93.11432376,120.5584197,57.26726842,front,1,147
31,91.43069705,112.4475952,57.52150588,front,1,147
32,90.565574,113.913192,54.93446886,front,1,149
33,76.30811609,94.93324459,38.28229697,front,1,158
34,81.7213559,108.9644849,45.35603105,front,1,147
35,87.51387288,114.0647457,50.58334586,front,1,147
36,95.59127426,116.4285889,62.09346179,front,1,152
37,102.4315962,121.4026782,64.58877828,front,2,140
38,96.57393558,117.7315118,60.84301517,front,3,170
39,108.0812925,126.1668447,65.42710388,front,3,167
40,103.5039389,122.4462808,61.39552973,front,3,172
41,101.1358683,120.0098689,64.45828574,front,2,142
42,105.4814801,128.7390179,66.4901763,front,3,181
43,105.7283261,130.7974657,70.19595216,front,2,141
44,90.74020798,108.9953849,51.43977944,front,2,144
45,90.8881514,113.2689045,57.37683549,front,1,152
46,92.22947664,113.9425922,57.74422199,front,3,171
47,110.3786231,127.8955899,67.47851174,front,1,165
48,77.8262948,101.0774395,44.23799868,front,1,156
49,98.0663484,120.381012,61.86881981,front,1,152
50,100.0942124,125.0261098,63.06170717,front,1,163
51,97.76458424,123.084212,65.89255534,front,3,170
52,97.61458229,118.9147457,64.86257242,front,1,155
53,90.99136005,112.2906267,56.05064367,front,1,154
54,87.3353178,103.8895847,51.34946096,front,2,143
55,89.48680927,111.3354173,49.01298046,front,4,113
56,64.5125352,85.10017119,34.50693026,front,4,103
57,64.21275333,87.47219414,31.06246978,front,2,106
58,87.92452404,109.6720751,48.69920129,front,2,118
59,75.72942245,96.96606424,44.90303015,front,2,135
60,87.16636014,113.0227888,48.22939308,front,2,144
61,79.51797318,96.0781655,43.81226759,front,2,110
62,80.34276145,103.2689881,45.41669534,front,2,135
63,69.59915909,95.91425927,38.27651485,front,2,110
64,83.82072292,103.8257179,49.93841195,front,2,133
65,96.19968131,109.3740152,50.41393963,front,2,111
66,77.25489676,101.2843342,39.26241712,front,2,112
67,58.17131336,83.30221774,29.04308756,front,4,91
68,102.6653189,124.3427818,67.51064681,front,1,161
69,91.61178703,112.3462836,52.41402214,front,3,169
70,99.41104053,113.3026488,59.75743239,front,1,160
71,85.55113072,106.4956111,55.19105588,front,3,170
72,101.3846874,116.4195301,60.98439079,front,3,176
73,101.4501533,122.0600943,64.38278413,front,3,170
74,79.77934002,97.37754207,45.72211259,front,2,144
75,107.3744382,127.7815722,74.39515951,front,3,187
76,73.39122779,92.41934128,36.1414679,front,2,132
77,81.48474759,100.0971127,48.53524621,front,1,157
78,89.21903611,108.2816747,59.11225476,front,1,152
79,78.03467047,91.25234213,46.77618391,front,1,141
80,110.476609,124.5065299,69.33262862,front,3,176
81,82.53282429,105.7229885,50.49993626,front,1,161
82,70.02419566,95.15523367,36.03861832,front,2,140
83,97.289111,118.8076844,59.60004122,front,1,154
84,108.9820261,130.1229,68.01085694,front,1,155
85,89.9168754,108.6111899,56.79803543,front,1,164
86,98.32689733,124.0353313,61.77596368,front,1,147
87,80.61539517,103.8223329,50.92253038,front,1,158
88,84.67110055,107.0794087,51.69432442,front,1,150
89,87.39947203,110.5703504,49.02745008,front,1,152
90,91.47475963,113.8889194,56.75640893,front,3,171
91,91.82471596,108.7038113,55.49591808,front,3,175
92,104.4058444,119.2789659,69.41050242,front,1,163
93,109.5815967,132.9156924,75.62683831,front,1,164
94,90.68057677,110.9784853,60.14128061,front,3,172
95,88.15841896,110.2457257,57.05127764,front,1,163
96,69.56613909,93.80366735,42.76589599,front,2,140
97,85.98780787,108.1485164,54.3165169,front,1,160
98,102.9235089,123.4654405,71.00492752,front,2,136
99,104.9432703,129.8167587,74.1900659,front,3,174
100,85.15967913,106.7098788,51.47345697,front,3,167
101,89.6499903,110.4068428,64.27545724,front,1,150
102,84.17984465,103.603092,47.55938807,front,1,148
